ACCESSION,DISPLAY_NAME,FILENAME,ASM_NAME,ASM_LENGTH,TOTAL_PROTEIN,NCBI_TAXID,phylum,subphylum,class,subclass,order,family,genus,species,TOTAL_IDP
GCA_001466565.1,[Candida] glabrata (GCA_001466565),_candida_glabrata_gca_001466565.ASM146656v1,ASM146656v1,12865870,5331,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2044
GCA_001466575.1,[Candida] glabrata (GCA_001466575),_candida_glabrata_gca_001466575.ASM146657v1,ASM146657v1,12826081,5293,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2035
GCA_001466635.1,[Candida] glabrata (GCA_001466635),_candida_glabrata_gca_001466635.ASM146663v1,ASM146663v1,14559169,5985,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2314
GCA_001466685.1,[Candida] glabrata (GCA_001466685),_candida_glabrata_gca_001466685.ASM146668v1,ASM146668v1,12820484,5317,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2047
GCA_002219185.1,[Candida] glabrata (GCA_002219185),_candida_glabrata_gca_002219185.ASM221918v1,ASM221918v1,12729188,5290,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2015
GCA_002219195.1,[Candida] glabrata (GCA_002219195),_candida_glabrata_gca_002219195.ASM221919v1,ASM221919v1,12728164,5294,5478,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,2019
GCA_002926055.1,[Candida] haemulonis str. B11899 (GCA_002926055),_candida_haemulonis_gca_002926055.CanHae_1.0,CanHae_1.0,13314323,5249,45357,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] haemuloni,2231
GCA_900106115.1,[Candida] intermedia (GCA_900106115),_candida_intermedia_gca_900106115.CBS_141442_assembly,CBS 141442 assembly,13162108,5931,45354,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] intermedia,1895
GCA_900106125.1,[Candida] intermedia (GCA_900106125),_candida_intermedia_gca_900106125.PYCC_4715_assembly,PYCC 4715 assembly,13077109,6050,45354,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] intermedia,1916
GCA_003013735.1,[Candida] pseudohaemulonis str. B12108 (GCA_003013735),_candida_pseudohaemulonis_gca_003013735.Cand_pseudohaemulonii_B12108,Cand_pseudohaemulonii_B12108,12591275,5134,418784,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,[Candida] pseudohaemulonii,1930
GCA_000223465.1,[Candida] tenuis ATCC 10573 (GCA_000223465),_candida_tenuis_atcc_10573_gca_000223465.Candida_tenuis_v1.0,Candida tenuis v1.0,10747050,5547,45596,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Yamadazyma,Yamadazyma tenuis,1860
GCA_900079185.1,Absidia glauca,Absidia_glauca_gca_900079185.AG_v1,AG_v1,48746359,14891,4829,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca,6563
GCA_002105175.1,Absidia repens str. NRRL 1336,Absidia_repens_gca_002105175.Absrep1,Absrep1,47422896,14915,90262,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,Absidia repens,6003
GCA_003144295.1,Acaromyces ingoldii str. MCA 4198 (GCA_003144295),Acaromyces_ingoldii_gca_003144295.Acain1,Acain1,19330111,8026,215250,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,Acaromyces ingoldii,4279
GCA_001592465.1,Acidomyces richmondensis BFW (GCA_001592465),Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0,Acidomyces richmondensis BFW v1.0,29881346,11177,245562,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',4141
GCA_001572075.1,Acidomyces richmondensis (GCA_001572075),Acidomyces_richmondensis_gca_001572075.ASM157207v1,ASM157207v1,26819972,10338,245562,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',3941
GCA_000769265.1,Acremonium chrysogenum ATCC 11550 (GCA_000769265),Acremonium_chrysogenum_atcc_11550_gca_000769265.ASM76926v1,ASM76926v1,28590524,8901,5044,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Acremonium,Acremonium chrysogenum,4580
GCA_000300555.1,Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555),Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1,Agabi_varbur_1,32614392,11271,5341,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,4172
GCA_000151295.1,Allomyces macrogynus ATCC 38327 (GCA_000151295),Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3,A_macrogynus_V3,57060573,18774,28583,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,Allomyces macrogynus,10025
GCA_001642055.1,Alternaria alternata str. SRC1lrK2f (GCA_001642055),Alternaria_alternata_gca_001642055.Altal1,Altal1,32990834,13466,5599,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,5439
GCA_000827485.1,Amanita muscaria Koide BX008 (GCA_000827485),Amanita_muscaria_koide_bx008_gca_000827485.Amanita_muscaria_Koide_BX008_v1.0,Amanita muscaria Koide BX008 v1.0,40699759,18086,41956,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita muscaria,5384
GCA_002554575.1,Amanita thiersii Skay4041 (GCA_002554575),Amanita_thiersii_skay4041_gca_002554575.Amanita_thiersii_v1.0,Amanita thiersii v1.0,33689220,10346,235537,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,Amanita thiersii,3836
GCA_003019875.1,Amorphotheca resinae ATCC 22711 (GCA_003019875),Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1,Amore1,28632918,9642,5101,Ascomycota,Pezizomycotina,Leotiomycetes,,,Myxotrichaceae,Amorphotheca,Amorphotheca resinae,4203
GCA_001875675.1,Amphiamblys sp. WSBS2006 (GCA_001875675),Amphiamblys_sp_wsbs2006_gca_001875675.ASM187567v1,ASM187567v1,5620147,3642,1866961,Microsporidia,,,,,Amphiacanthidae,Amphiamblys,Amphiamblys sp. WSBS2006,682
GCA_002104895.1,Anaeromyces robustus str. S4 (GCA_002104895),Anaeromyces_robustus_gca_002104895.Anaeromyces_sp._S4_v1.0,Anaeromyces sp. S4 v1.0,71685009,12823,1754192,Chytridiomycota,,Neocallimastigomycetes,,Neocallimastigales,Neocallimastigaceae,Anaeromyces,Anaeromyces robustus,4452
GCA_000385855.2,Anncaliia algerae PRA109 (GCA_000385855),Anncaliia_algerae_pra109_gca_000385855.Annc_alge_PRA109_V4,Annc_alge_PRA109_V4,17534931,5245,723287,Microsporidia,,,,,Tubulinosematidae,Anncaliia,Anncaliia algerae,290
GCA_000385875.2,Anncaliia algerae PRA339 (GCA_000385875),Anncaliia_algerae_pra339_gca_000385875.Annc_alge_insect_USDA_JJB_V2,Annc_alge_insect_USDA_JJB_V2,12163397,3598,723287,Microsporidia,,,,,Tubulinosematidae,Anncaliia,Anncaliia algerae,260
GCA_000417875.1,Anthracocystis flocculosa PF-1 (GCA_000417875),Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0,Pflocc_1.0,23305380,4425,84751,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis flocculosa,2972
GCA_002307695.1,Armillaria gallica str. Ar21-2 (GCA_002307695),Armillaria_gallica_gca_002307695.Armga1,Armga1,85336812,25695,47427,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria gallica,6392
GCA_900157425.1,Armillaria ostoyae (GCA_900157425),Armillaria_ostoyae_gca_900157425.version_2,version 2,60106801,22299,47428,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria ostoyae,7086
GCA_002307675.1,Armillaria solidipes str. 28-4 (GCA_002307675),Armillaria_solidipes_gca_002307675.Armost1,Armost1,58009494,20808,1076256,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria solidipes,5707
GCA_000225545.1,Arthrobotrys oligospora ATCC 24927 (GCA_000225545),Arthrobotrys_oligospora_atcc_24927_gca_000225545.AOL24927_1.0,AOL24927 1.0,40072829,11479,13349,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Orbilia,Orbilia oligospora,5398
GCA_001630375.1,Ascochyta rabiei str. ArDII (GCA_001630375),Ascochyta_rabiei_gca_001630375.AscRab1.0,AscRab1.0,34658250,10596,5454,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Ascochyta,Ascochyta rabiei,5072
GCA_001661345.1,Ascoidea rubescens DSM 1968 (GCA_001661345),Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1,Ascru1,17503998,6785,54195,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Ascoideaceae,Ascoidea,Ascoidea rubescens,2238
GCA_001636715.1,Ascosphaera apis ARSEF 7405 (GCA_001636715),Ascosphaera_apis_arsef_7405_gca_001636715.AAP_1.0,AAP 1.0,20313079,6442,5105,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ascosphaeraceae,Ascosphaera,Ascosphaera apis,3542
GCA_000091025.3,Ashbya gossypii,Ashbya_gossypii.ASM9102v1,ASM9102v1,9119312,4776,33169,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Eremothecium,Eremothecium gossypii,1682
GCA_003184765.1,Aspergillus aculeatinus CBS 121060 (GCA_003184765),Aspergillus_aculeatinus_cbs_121060_gca_003184765.Aspacu1,Aspacu1,36471649,12028,487661,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus aculeatinus,4623
GCA_001890905.1,Aspergillus aculeatus ATCC 16872 (GCA_001890905),Aspergillus_aculeatus_atcc_16872_gca_001890905.Aspac1,Aspac1,35424414,10843,5053,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus aculeatus,4302
GCA_002749805.1,Aspergillus arachidicola str. CBS 117610 (GCA_002749805),Aspergillus_arachidicola_gca_002749805.ASM274980v1,ASM274980v1,38896857,12090,656916,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus arachidicola,4434
GCA_001792695.1,Aspergillus bombycis str. NRRL26010 (GCA_001792695),Aspergillus_bombycis_gca_001792695.ASM179269v1,ASM179269v1,37474605,12265,109264,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus bombycis,4479
GCA_001889945.1,Aspergillus brasiliensis CBS 101740 (GCA_001889945),Aspergillus_brasiliensis_cbs_101740_gca_001889945.Aspbr1,Aspbr1,35804080,12989,319629,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brasiliensis,4718
GCA_003184695.1,Aspergillus brunneoviolaceus CBS 621.78 (GCA_003184695),Aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695.Aspbru1,Aspbru1,37477200,12073,1191711,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus brunneoviolaceus,4527
GCA_001511075.1,Aspergillus calidoustus str. SF006504 (GCA_001511075),Aspergillus_calidoustus_gca_001511075.Acal_Allpaths_LG,Acal_Allpaths_LG,41102685,15139,454130,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus calidoustus,5576
GCA_002847485.1,Aspergillus campestris IBT 28561 (GCA_002847485),Aspergillus_campestris_ibt_28561_gca_002847485.Aspcam1,Aspcam1,28257496,9756,41068,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus campestris,4275
GCA_002847045.1,Aspergillus candidus str. CBS 102.13 (GCA_002847045),Aspergillus_candidus_gca_002847045.Aspcand1,Aspcand1,27317772,9639,41067,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus candidus,4214
GCA_001990825.1,Aspergillus carbonarius ITEM 5010 (GCA_001990825),Aspergillus_carbonarius_item_5010_gca_001990825.Aspca3,Aspca3,36149134,11475,40993,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus carbonarius,4061
GCA_000002715.1,Aspergillus clavatus NRRL 1,Aspergillus_clavatus.ASM271v1,ASM271v1,27859441,9121,5057,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus clavatus,3909
GCA_001717485.1,Aspergillus cristatus str. GZAAS20.1005 (GCA_001717485),Aspergillus_cristatus_gca_001717485.ASM171748v1,ASM171748v1,28454192,10344,573508,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus cristatus,4685
GCA_003184645.1,Aspergillus ellipticus CBS 707.79 (GCA_003184645),Aspergillus_ellipticus_cbs_707_79_gca_003184645.Aspell1,Aspell1,42866077,12882,41066,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ellipticus,4850
GCA_003184535.1,Aspergillus eucalypticola CBS 122712 (GCA_003184535),Aspergillus_eucalypticola_cbs_122712_gca_003184535.Aspeuc1,Aspeuc1,34792412,11933,1340029,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus eucalypticola,4508
GCA_000006275.2,Aspergillus flavus NRRL3357,Aspergillus_flavus.JCVI-afl1-v2.0,JCVI-afl1-v2.0,36892344,13485,5059,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,4342
GCA_000952835.1,Aspergillus flavus AF70 (GCA_000952835),Aspergillus_flavus_af70_gca_000952835.ASM95283v1,ASM95283v1,37027369,13196,5059,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus flavus,4573
GCA_000002655.1,Aspergillus fumigatus Af293,Aspergillus_fumigatus.ASM265v1,ASM265v1,29384958,9623,746128,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,3951
GCA_002234985.1,Aspergillus fumigatus (GCA_002234985),Aspergillus_fumigatus_gca_002234985.ASM223498v1,ASM223498v1,28231324,9284,746128,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,3912
GCA_000731615.1,Aspergillus fumigatus var. RP-2014 (GCA_000731615),Aspergillus_fumigatus_var_rp_2014_gca_000731615.AspFumNiv1.0,AspFumNiv1.0,27355096,8825,746128,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,3774
GCA_001029325.1,Aspergillus fumigatus Z5 (GCA_001029325),Aspergillus_fumigatus_z5_gca_001029325.ASM102932v1,ASM102932v1,29356075,9540,746128,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,4020
GCA_000150145.1,Aspergillus fumigatus A1163,Aspergillus_fumigatusa1163.ASM15014v1,ASM15014v1,29205420,9929,746128,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus fumigatus,4033
GCA_001890805.1,Aspergillus glaucus CBS 516.65 (GCA_001890805),Aspergillus_glaucus_cbs_516_65_gca_001890805.Aspgl1,Aspgl1,27993362,11254,41413,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus glaucus,4400
GCA_003184545.1,Aspergillus heteromorphus CBS 117.55 (GCA_003184545),Aspergillus_heteromorphus_cbs_117_55_gca_003184545.Asphet1,Asphet1,35607567,11130,51019,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus heteromorphus,4509
GCA_003184685.1,Aspergillus indologenus CBS 114.80 (GCA_003184685),Aspergillus_indologenus_cbs_114_80_gca_003184685.Aspind1,Aspind1,38592838,12161,1232676,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus indologenus,4667
GCA_003184785.1,Aspergillus japonicus CBS 114.51 (GCA_003184785),Aspergillus_japonicus_cbs_114_51_gca_003184785.Aspjap1,Aspjap1,36099954,12022,34381,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus japonicus,4587
GCA_003184595.1,Aspergillus lacticoffeatus CBS 101883 (GCA_003184595),Aspergillus_lacticoffeatus_cbs_101883_gca_003184595.Asplac1,Asplac1,35853610,13082,319628,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,4802
GCA_001445615.1,Aspergillus lentulus (GCA_001445615),Aspergillus_lentulus_gca_001445615.Alt_assembly01,Alt_assembly01,30956128,9680,293939,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus lentulus,4084
GCA_001890685.1,Aspergillus luchuensis CBS 106.47 (GCA_001890685),Aspergillus_luchuensis_cbs_106_47_gca_001890685.Aspfo1,Aspfo1,37452972,13502,1069201,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,4869
GCA_001602395.1,Aspergillus luchuensis str. RIB 2604 (GCA_001602395),Aspergillus_luchuensis_gca_001602395.AspL_2604,AspL_2604,34183795,12920,1069201,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus luchuensis,4847
GCA_003184625.1,Aspergillus neoniger CBS 115656 (GCA_003184625),Aspergillus_neoniger_cbs_115656_gca_003184625.Aspneo1,Aspneo1,35416444,11939,1196635,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus neoniger,4473
GCA_000011425.1,Aspergillus nidulans,Aspergillus_nidulans.ASM1142v1,ASM1142v1,29828291,10534,162425,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,4223
GCA_000149205.2,Aspergillus nidulans FGSC A4 (GCA_000149205),Aspergillus_nidulans_fgsc_a4_gca_000149205.ASM14920v2,ASM14920v2,30068514,9541,162425,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nidulans,4091
GCA_000002855.2,Aspergillus niger,Aspergillus_niger.ASM285v2,ASM285v2,33975768,13872,5061,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,5128
GCA_000230395.2,Aspergillus niger ATCC 1015 (GCA_000230395),Aspergillus_niger_atcc_1015_gca_000230395.ASPNI_v3.0,ASPNI v3.0,34853277,10947,5061,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,3900
GCA_001515345.1,Aspergillus niger (GCA_001515345),Aspergillus_niger_gca_001515345.ASM151534v1,ASM151534v1,34880193,10373,5061,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,4303
GCA_900248155.1,Aspergillus niger (GCA_900248155),Aspergillus_niger_gca_900248155.Aniger_ATCC_64974_N402,Aniger_ATCC 64974_N402,35570168,11187,5061,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger,4375
GCA_001204775.1,Aspergillus nomius NRRL 13137 (GCA_001204775),Aspergillus_nomius_nrrl_13137_gca_001204775.ASM120477v1,ASM120477v1,36138823,11914,41061,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus nomiae,4407
GCA_002847465.1,Aspergillus novofumigatus IBT 16806 (GCA_002847465),Aspergillus_novofumigatus_ibt_16806_gca_002847465.Aspnov1,Aspnov1,32440129,11532,340412,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus novofumigatus,4234
GCA_000986665.1,Aspergillus ochraceoroseus str. SRRC1432 (GCA_000986665),Aspergillus_ochraceoroseus_gca_000986665.ASM98666v1,ASM98666v1,24273657,7829,138278,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceoroseus,3609
GCA_002846915.2,Aspergillus ochraceoroseus IBT 24754 (GCA_002846915),Aspergillus_ochraceoroseus_ibt_24754_gca_002846915.Aspergillus_ochraceoroseus_IBT_24754_v1.1,Aspergillus ochraceoroseus IBT 24754 v1.1,27718211,8917,138278,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ochraceoroseus,3761
GCA_000184455.3,Aspergillus oryzae RIB40,Aspergillus_oryzae.ASM18445v3,ASM18445v3,37912014,12074,5062,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,3953
GCA_000691885.1,Aspergillus oryzae 100-8 (GCA_000691885),Aspergillus_oryzae_100_8_gca_000691885.Aspergillus_oryzae_100-8,Aspergillus oryzae 100-8,36769262,11187,5062,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,3836
GCA_000269785.2,Aspergillus oryzae 3.042 (GCA_000269785),Aspergillus_oryzae_3_042_gca_000269785.AspOry3042,AspOry3042,36547279,11383,5062,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,3904
GCA_002007945.1,Aspergillus oryzae str. BCC7051 (GCA_002007945),Aspergillus_oryzae_gca_002007945.ASM200794v1,ASM200794v1,38507590,11456,5062,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus oryzae,4359
