ACCESSION,SPECIES,ASM_NAME,NCBI_TAXID,ASM_LENGTH,TOTAL_PROTEIN,DNA_URL,PEP_URL,FILENAME,phylum,subphylum,class,subclass,order,family,genus,TOTAL_IDP,NAME
GCA_001466565.1,[Candida] glabrata (GCA_001466565),ASM146656v1,5478,12865870,5331,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466565/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466565/pep,_candida_glabrata_gca_001466565.ASM146656v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2044,_candida_glabrata
GCA_001466575.1,[Candida] glabrata (GCA_001466575),ASM146657v1,5478,12826081,5293,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466575/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466575/pep,_candida_glabrata_gca_001466575.ASM146657v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2035,_candida_glabrata
GCA_001466635.1,[Candida] glabrata (GCA_001466635),ASM146663v1,5478,14559169,5985,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466635/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466635/pep,_candida_glabrata_gca_001466635.ASM146663v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2314,_candida_glabrata
GCA_001466685.1,[Candida] glabrata (GCA_001466685),ASM146668v1,5478,12820484,5317,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466685/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466685/pep,_candida_glabrata_gca_001466685.ASM146668v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2047,_candida_glabrata
GCA_002219185.1,[Candida] glabrata (GCA_002219185),ASM221918v1,5478,12729188,5290,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_glabrata_gca_002219185/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_glabrata_gca_002219185/pep,_candida_glabrata_gca_002219185.ASM221918v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2015,_candida_glabrata
GCA_002219195.1,[Candida] glabrata (GCA_002219195),ASM221919v1,5478,12728164,5294,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_002219195/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_002219195/pep,_candida_glabrata_gca_002219195.ASM221919v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,2019,_candida_glabrata
GCA_002926055.1,[Candida] haemulonis str. B11899 (GCA_002926055),CanHae_1.0,45357,13314323,5249,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_haemulonis_gca_002926055/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_haemulonis_gca_002926055/pep,_candida_haemulonis_gca_002926055.CanHae_1.0,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,2231,_candida_haemulonis
GCA_900106115.1,[Candida] intermedia (GCA_900106115),CBS 141442 assembly,45354,13162108,5931,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106115/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106115/pep,_candida_intermedia_gca_900106115.CBS_141442_assembly,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,1895,_candida_intermedia
GCA_900106125.1,[Candida] intermedia (GCA_900106125),PYCC 4715 assembly,45354,13077109,6050,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106125/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106125/pep,_candida_intermedia_gca_900106125.PYCC_4715_assembly,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,1916,_candida_intermedia
GCA_003013735.1,[Candida] pseudohaemulonis str. B12108 (GCA_003013735),Cand_pseudohaemulonii_B12108,418784,12591275,5134,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_pseudohaemulonis_gca_003013735/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_pseudohaemulonis_gca_003013735/pep,_candida_pseudohaemulonis_gca_003013735.Cand_pseudohaemulonii_B12108,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,1930,_candida_pseudohaemulonis
GCA_000223465.1,[Candida] tenuis ATCC 10573 (GCA_000223465),Candida tenuis v1.0,45596,10747050,5547,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_tenuis_atcc_10573_gca_000223465/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_tenuis_atcc_10573_gca_000223465/pep,_candida_tenuis_atcc_10573_gca_000223465.Candida_tenuis_v1.0,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Yamadazyma,1860,_candida_tenuis
GCA_900079185.1,Absidia glauca,AG_v1,4829,48746359,14891,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/pep,Absidia_glauca_gca_900079185.AG_v1,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,6563,Absidia_glauca
GCA_002105175.1,Absidia repens str. NRRL 1336,Absrep1,90262,47422896,14915,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/pep,Absidia_repens_gca_002105175.Absrep1,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Cunninghamellaceae,Absidia,6003,Absidia_repens
GCA_003144295.1,Acaromyces ingoldii str. MCA 4198 (GCA_003144295),Acain1,215250,19330111,8026,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/pep,Acaromyces_ingoldii_gca_003144295.Acain1,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Exobasidiales,Cryptobasidiaceae,Acaromyces,4279,Acaromyces_ingoldii
GCA_001592465.1,Acidomyces richmondensis BFW (GCA_001592465),Acidomyces richmondensis BFW v1.0,245562,29881346,11177,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/pep,Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,4141,Acidomyces_richmondensis
GCA_001572075.1,Acidomyces richmondensis (GCA_001572075),ASM157207v1,245562,26819972,10338,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_gca_001572075/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_gca_001572075/pep,Acidomyces_richmondensis_gca_001572075.ASM157207v1,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,3941,Acidomyces_richmondensis
GCA_000769265.1,Acremonium chrysogenum ATCC 11550 (GCA_000769265),ASM76926v1,5044,28590524,8901,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/pep,Acremonium_chrysogenum_atcc_11550_gca_000769265.ASM76926v1,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,,Acremonium,4580,Acremonium_chrysogenum
GCA_000300555.1,Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555),Agabi_varbur_1,5341,32614392,11271,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/pep,Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Agaricaceae,Agaricus,4172,Agaricus_bisporus
GCA_000151295.1,Allomyces macrogynus ATCC 38327 (GCA_000151295),A_macrogynus_V3,28583,57060573,18774,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/pep,Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Blastocladiaceae,Allomyces,10025,Allomyces_macrogynus
GCA_001642055.1,Alternaria alternata str. SRC1lrK2f (GCA_001642055),Altal1,5599,32990834,13466,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/pep,Alternaria_alternata_gca_001642055.Altal1,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporaceae,Alternaria,5439,Alternaria_alternata
GCA_000827485.1,Amanita muscaria Koide BX008 (GCA_000827485),Amanita muscaria Koide BX008 v1.0,41956,40699759,18086,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/pep,Amanita_muscaria_koide_bx008_gca_000827485.Amanita_muscaria_Koide_BX008_v1.0,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,5384,Amanita_muscaria
GCA_002554575.1,Amanita thiersii Skay4041 (GCA_002554575),Amanita thiersii v1.0,235537,33689220,10346,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/pep,Amanita_thiersii_skay4041_gca_002554575.Amanita_thiersii_v1.0,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Amanitaceae,Amanita,3836,Amanita_thiersii
GCA_003019875.1,Amorphotheca resinae ATCC 22711 (GCA_003019875),Amore1,5101,28632918,9642,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/pep,Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1,Ascomycota,Pezizomycotina,Leotiomycetes,,,Myxotrichaceae,Amorphotheca,4203,Amorphotheca_resinae
GCA_001875675.1,Amphiamblys sp. WSBS2006 (GCA_001875675),ASM187567v1,1866961,5620147,3642,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/pep,Amphiamblys_sp_wsbs2006_gca_001875675.ASM187567v1,Microsporidia,,,,,Amphiacanthidae,Amphiamblys,682,Amphiamblys_sp
GCA_002104895.1,Anaeromyces robustus str. S4 (GCA_002104895),Anaeromyces sp. S4 v1.0,1754192,71685009,12823,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/pep,Anaeromyces_robustus_gca_002104895.Anaeromyces_sp._S4_v1.0,Chytridiomycota,,Neocallimastigomycetes,,Neocallimastigales,Neocallimastigaceae,Anaeromyces,4452,Anaeromyces_robustus
GCA_000385855.2,Anncaliia algerae PRA109 (GCA_000385855),Annc_alge_PRA109_V4,723287,17534931,5245,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/pep,Anncaliia_algerae_pra109_gca_000385855.Annc_alge_PRA109_V4,Microsporidia,,,,,Tubulinosematidae,Anncaliia,290,Anncaliia_algerae
GCA_000385875.2,Anncaliia algerae PRA339 (GCA_000385875),Annc_alge_insect_USDA_JJB_V2,723287,12163397,3598,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339_gca_000385875/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra339_gca_000385875/pep,Anncaliia_algerae_pra339_gca_000385875.Annc_alge_insect_USDA_JJB_V2,Microsporidia,,,,,Tubulinosematidae,Anncaliia,260,Anncaliia_algerae
GCA_000417875.1,Anthracocystis flocculosa PF-1 (GCA_000417875),Pflocc_1.0,84751,23305380,4425,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1_gca_000417875/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/anthracocystis_flocculosa_pf_1_gca_000417875/pep,Anthracocystis_flocculosa_pf_1_gca_000417875.Pflocc_1.0,Basidiomycota,Ustilaginomycotina,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,2972,Anthracocystis_flocculosa
GCA_002307695.1,Armillaria gallica str. Ar21-2 (GCA_002307695),Armga1,47427,85336812,25695,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/armillaria_gallica_gca_002307695/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/armillaria_gallica_gca_002307695/pep,Armillaria_gallica_gca_002307695.Armga1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,6392,Armillaria_gallica
GCA_900157425.1,Armillaria ostoyae (GCA_900157425),version 2,47428,60106801,22299,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/armillaria_ostoyae_gca_900157425/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/armillaria_ostoyae_gca_900157425/pep,Armillaria_ostoyae_gca_900157425.version_2,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,7086,Armillaria_ostoyae
GCA_002307675.1,Armillaria solidipes str. 28-4 (GCA_002307675),Armost1,1076256,58009494,20808,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/armillaria_solidipes_gca_002307675/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/armillaria_solidipes_gca_002307675/pep,Armillaria_solidipes_gca_002307675.Armost1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,5707,Armillaria_solidipes
GCA_000225545.1,Arthrobotrys oligospora ATCC 24927 (GCA_000225545),AOL24927 1.0,13349,40072829,11479,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/arthrobotrys_oligospora_atcc_24927_gca_000225545/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/arthrobotrys_oligospora_atcc_24927_gca_000225545/pep,Arthrobotrys_oligospora_atcc_24927_gca_000225545.AOL24927_1.0,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Orbilia,5398,Arthrobotrys_oligospora
GCA_001630375.1,Ascochyta rabiei str. ArDII (GCA_001630375),AscRab1.0,5454,34658250,10596,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/ascochyta_rabiei_gca_001630375/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/ascochyta_rabiei_gca_001630375/pep,Ascochyta_rabiei_gca_001630375.AscRab1.0,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Didymellaceae,Ascochyta,5072,Ascochyta_rabiei
GCA_001661345.1,Ascoidea rubescens DSM 1968 (GCA_001661345),Ascru1,54195,17503998,6785,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/ascoidea_rubescens_dsm_1968_gca_001661345/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/ascoidea_rubescens_dsm_1968_gca_001661345/pep,Ascoidea_rubescens_dsm_1968_gca_001661345.Ascru1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Ascoideaceae,Ascoidea,2238,Ascoidea_rubescens
GCA_001636715.1,Ascosphaera apis ARSEF 7405 (GCA_001636715),AAP 1.0,5105,20313079,6442,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/ascosphaera_apis_arsef_7405_gca_001636715/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/ascosphaera_apis_arsef_7405_gca_001636715/pep,Ascosphaera_apis_arsef_7405_gca_001636715.AAP_1.0,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ascosphaeraceae,Ascosphaera,3542,Ascosphaera_apis
