ACCESSION,DISPLAY_NAME,DNA_URL,PEP_URL,GFF_URL
GCA_001466565.1,[Candida] glabrata (GCA_001466565),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466565/dna/_candida_glabrata_gca_001466565.ASM146656v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466565/pep/_candida_glabrata_gca_001466565.ASM146656v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_001466565/_candida_glabrata_gca_001466565.ASM146656v1.49.gff3.gz
GCA_001466575.1,[Candida] glabrata (GCA_001466575),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466575/dna/_candida_glabrata_gca_001466575.ASM146657v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466575/pep/_candida_glabrata_gca_001466575.ASM146657v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_001466575/_candida_glabrata_gca_001466575.ASM146657v1.49.gff3.gz
GCA_001466635.1,[Candida] glabrata (GCA_001466635),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466635/dna/_candida_glabrata_gca_001466635.ASM146663v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466635/pep/_candida_glabrata_gca_001466635.ASM146663v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_001466635/_candida_glabrata_gca_001466635.ASM146663v1.49.gff3.gz
GCA_001466685.1,[Candida] glabrata (GCA_001466685),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466685/dna/_candida_glabrata_gca_001466685.ASM146668v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_001466685/pep/_candida_glabrata_gca_001466685.ASM146668v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_001466685/_candida_glabrata_gca_001466685.ASM146668v1.49.gff3.gz
GCA_002219185.1,[Candida] glabrata (GCA_002219185),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_glabrata_gca_002219185/dna/_candida_glabrata_gca_002219185.ASM221918v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_glabrata_gca_002219185/pep/_candida_glabrata_gca_002219185.ASM221918v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_glabrata_gca_002219185/_candida_glabrata_gca_002219185.ASM221918v1.49.gff3.gz
GCA_002219195.1,[Candida] glabrata (GCA_002219195),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_002219195/dna/_candida_glabrata_gca_002219195.ASM221919v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_glabrata_gca_002219195/pep/_candida_glabrata_gca_002219195.ASM221919v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_glabrata_gca_002219195/_candida_glabrata_gca_002219195.ASM221919v1.49.gff3.gz
GCA_002926055.1,[Candida] haemulonis str. B11899 (GCA_002926055),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_haemulonis_gca_002926055/dna/_candida_haemulonis_gca_002926055.CanHae_1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_haemulonis_gca_002926055/pep/_candida_haemulonis_gca_002926055.CanHae_1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_haemulonis_gca_002926055/_candida_haemulonis_gca_002926055.CanHae_1.0.49.gff3.gz
GCA_900106115.1,[Candida] intermedia (GCA_900106115),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106115/dna/_candida_intermedia_gca_900106115.CBS_141442_assembly.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106115/pep/_candida_intermedia_gca_900106115.CBS_141442_assembly.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_intermedia_gca_900106115/_candida_intermedia_gca_900106115.CBS_141442_assembly.49.gff3.gz
GCA_900106125.1,[Candida] intermedia (GCA_900106125),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106125/dna/_candida_intermedia_gca_900106125.PYCC_4715_assembly.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/_candida_intermedia_gca_900106125/pep/_candida_intermedia_gca_900106125.PYCC_4715_assembly.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/_candida_intermedia_gca_900106125/_candida_intermedia_gca_900106125.PYCC_4715_assembly.49.gff3.gz
GCA_003013735.1,[Candida] pseudohaemulonis str. B12108 (GCA_003013735),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_pseudohaemulonis_gca_003013735/dna/_candida_pseudohaemulonis_gca_003013735.Cand_pseudohaemulonii_B12108.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/_candida_pseudohaemulonis_gca_003013735/pep/_candida_pseudohaemulonis_gca_003013735.Cand_pseudohaemulonii_B12108.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/_candida_pseudohaemulonis_gca_003013735/_candida_pseudohaemulonis_gca_003013735.Cand_pseudohaemulonii_B12108.49.gff3.gz
GCA_000223465.1,[Candida] tenuis ATCC 10573 (GCA_000223465),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_tenuis_atcc_10573_gca_000223465/dna/_candida_tenuis_atcc_10573_gca_000223465.Candida_tenuis_v1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/_candida_tenuis_atcc_10573_gca_000223465/pep/_candida_tenuis_atcc_10573_gca_000223465.Candida_tenuis_v1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota1_collection/_candida_tenuis_atcc_10573_gca_000223465/_candida_tenuis_atcc_10573_gca_000223465.Candida_tenuis_v1.0.49.gff3.gz
GCA_900079185.1,Absidia glauca,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/dna/Absidia_glauca_gca_900079185.AG_v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/pep/Absidia_glauca_gca_900079185.AG_v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/Absidia_glauca_gca_900079185.AG_v1.49.gff3.gz
GCA_002105175.1,Absidia repens str. NRRL 1336,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/dna/Absidia_repens_gca_002105175.Absrep1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/pep/Absidia_repens_gca_002105175.Absrep1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/Absidia_repens_gca_002105175.Absrep1.49.gff3.gz
GCA_003144295.1,Acaromyces ingoldii str. MCA 4198 (GCA_003144295),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/dna/Acaromyces_ingoldii_gca_003144295.Acain1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/pep/Acaromyces_ingoldii_gca_003144295.Acain1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/Acaromyces_ingoldii_gca_003144295.Acain1.49.gff3.gz
GCA_001592465.1,Acidomyces richmondensis BFW (GCA_001592465),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/dna/Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/pep/Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/acidomyces_richmondensis_bfw_gca_001592465/Acidomyces_richmondensis_bfw_gca_001592465.Acidomyces_richmondensis_BFW_v1.0.49.gff3.gz
GCA_001572075.1,Acidomyces richmondensis (GCA_001572075),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_gca_001572075/dna/Acidomyces_richmondensis_gca_001572075.ASM157207v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/acidomyces_richmondensis_gca_001572075/pep/Acidomyces_richmondensis_gca_001572075.ASM157207v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/acidomyces_richmondensis_gca_001572075/Acidomyces_richmondensis_gca_001572075.ASM157207v1.49.gff3.gz
GCA_000769265.1,Acremonium chrysogenum ATCC 11550 (GCA_000769265),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/dna/Acremonium_chrysogenum_atcc_11550_gca_000769265.ASM76926v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/pep/Acremonium_chrysogenum_atcc_11550_gca_000769265.ASM76926v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota1_collection/acremonium_chrysogenum_atcc_11550_gca_000769265/Acremonium_chrysogenum_atcc_11550_gca_000769265.ASM76926v1.49.gff3.gz
GCA_000300555.1,Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/dna/Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/pep/Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_basidiomycota1_collection/agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555/Agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555.Agabi_varbur_1.49.gff3.gz
GCA_000151295.1,Allomyces macrogynus ATCC 38327 (GCA_000151295),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/dna/Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/pep/Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_blastocladiomycota1_collection/allomyces_macrogynus_atcc_38327_gca_000151295/Allomyces_macrogynus_atcc_38327_gca_000151295.A_macrogynus_V3.49.gff3.gz
GCA_001642055.1,Alternaria alternata str. SRC1lrK2f (GCA_001642055),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/dna/Alternaria_alternata_gca_001642055.Altal1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/pep/Alternaria_alternata_gca_001642055.Altal1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota3_collection/alternaria_alternata_gca_001642055/Alternaria_alternata_gca_001642055.Altal1.49.gff3.gz
GCA_000827485.1,Amanita muscaria Koide BX008 (GCA_000827485),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/dna/Amanita_muscaria_koide_bx008_gca_000827485.Amanita_muscaria_Koide_BX008_v1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/pep/Amanita_muscaria_koide_bx008_gca_000827485.Amanita_muscaria_Koide_BX008_v1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_basidiomycota1_collection/amanita_muscaria_koide_bx008_gca_000827485/Amanita_muscaria_koide_bx008_gca_000827485.Amanita_muscaria_Koide_BX008_v1.0.49.gff3.gz
GCA_002554575.1,Amanita thiersii Skay4041 (GCA_002554575),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/dna/Amanita_thiersii_skay4041_gca_002554575.Amanita_thiersii_v1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/pep/Amanita_thiersii_skay4041_gca_002554575.Amanita_thiersii_v1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_basidiomycota1_collection/amanita_thiersii_skay4041_gca_002554575/Amanita_thiersii_skay4041_gca_002554575.Amanita_thiersii_v1.0.49.gff3.gz
GCA_003019875.1,Amorphotheca resinae ATCC 22711 (GCA_003019875),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/dna/Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/pep/Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_ascomycota4_collection/amorphotheca_resinae_atcc_22711_gca_003019875/Amorphotheca_resinae_atcc_22711_gca_003019875.Amore1.49.gff3.gz
GCA_001875675.1,Amphiamblys sp. WSBS2006 (GCA_001875675),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/dna/Amphiamblys_sp_wsbs2006_gca_001875675.ASM187567v1.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/pep/Amphiamblys_sp_wsbs2006_gca_001875675.ASM187567v1.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_microsporidia1_collection/amphiamblys_sp_wsbs2006_gca_001875675/Amphiamblys_sp_wsbs2006_gca_001875675.ASM187567v1.49.gff3.gz
GCA_002104895.1,Anaeromyces robustus str. S4 (GCA_002104895),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/dna/Anaeromyces_robustus_gca_002104895.Anaeromyces_sp._S4_v1.0.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/pep/Anaeromyces_robustus_gca_002104895.Anaeromyces_sp._S4_v1.0.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_neocallimastigomycota1_collection/anaeromyces_robustus_gca_002104895/Anaeromyces_robustus_gca_002104895.Anaeromyces_sp._S4_v1.0.49.gff3.gz
GCA_000385855.2,Anncaliia algerae PRA109 (GCA_000385855),http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/dna/Anncaliia_algerae_pra109_gca_000385855.Annc_alge_PRA109_V4.dna.toplevel.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/pep/Anncaliia_algerae_pra109_gca_000385855.Annc_alge_PRA109_V4.pep.all.fa.gz,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/gff3/fungi_microsporidia1_collection/anncaliia_algerae_pra109_gca_000385855/Anncaliia_algerae_pra109_gca_000385855.Annc_alge_PRA109_V4.49.gff3.gz
